domain,problem,name,exit_code,total_time,search_time,solution_time,plan_length
gripper,p27,S_TIME,0,0.200698,0.0925818,0.200698,449
gripper,p28,L_TIME,0,,,,
gripper,p28,S_TIME,0,0.208678,0.095656,0.208678,465
gripper,p29,L_TIME,0,,,,
gripper,p29,S_TIME,0,0.228391,0.107056,0.228391,479
gripper,p30,L_TIME,0,,,,
gripper,p30,S_TIME,0,0.241611,0.108762,0.241611,495
hiking,p01,L_TIME,0,,,,
hiking,p01,S_TIME,0,7.52039,7.4508,7.52039,90
hiking,p02,L_TIME,0,,,,
hiking,p02,S_TIME,0,13.5591,13.4698,13.5591,101
hiking,p03,L_TIME,0,,,,
hiking,p03,S_TIME,0,27.4799,27.3715,27.4799,122
hiking,p04,L_TIME,0,,,,
hiking,p04,S_TIME,0,50.0802,49.9522,50.0802,133
hiking,p05,L_TIME,0,,,,
hiking,p05,S_TIME,0,76.6054,76.4355,76.6054,142
hiking,p06,L_TIME,0,,,,
hiking,p06,S_TIME,0,124.044,123.83,124.044,152
hiking,p07,L_TIME,0,,,,
hiking,p07,S_TIME,0,651.795,651.516,651.795,161
hiking,p08,L_TIME,0,,,,
hiking,p08,S_TIME,0,985.138,984.81,985.138,171
hiking,p09,L_TIME,0,,,,
hiking,p09,S_TIME,0,1510.81,1510.39,1510.81,181
hiking,p10,L_TIME,124,,,,
hiking,p10,S_TIME,22,,,,
hiking,p11,L_TIME,124,,,,
hiking,p11,S_TIME,124,,,,
hiking,p12,L_TIME,124,,,,
hiking,p12,S_TIME,124,,,,
hiking,p13,L_TIME,124,,,,
hiking,p13,S_TIME,124,,,,
hiking,p14,L_TIME,124,,,,
hiking,p14,S_TIME,124,,,,
hiking,p15,L_TIME,22,,,,
hiking,p15,S_TIME,22,,,,
hiking,p16,L_TIME,124,,,,
hiking,p16,S_TIME,124,,,,
hiking,p17,L_TIME,0,,,,
hiking,p17,S_TIME,0,58.1685,57.2508,58.1685,78
hiking,p18,L_TIME,0,,,,
hiking,p18,S_TIME,0,23.0136,21.823,23.0136,88
hiking,p19,L_TIME,0,,,,
hiking,p19,S_TIME,0,318.174,316.388,318.174,97
hiking,p20,L_TIME,0,,,,
hiking,p20,S_TIME,0,70.0197,67.4029,70.0197,114
hiking,p21,L_TIME,0,,,,
hiking,p21,S_TIME,0,1032.73,1029.62,1032.73,130
hiking,p22,L_TIME,0,,,,
hiking,p22,S_TIME,0,68.1659,64.0269,68.1659,155
hiking,p23,L_TIME,0,,,,
hiking,p23,S_TIME,0,197.608,192.164,197.608,145
hiking,p24,L_TIME,124,,,,
hiking,p24,S_TIME,124,,,,
hiking,p25,L_TIME,124,,,,
hiking,p25,S_TIME,124,,,,
hiking,p26,L_TIME,0,,,,
hiking,p26,S_TIME,0,867.628,855.494,867.628,185
hiking,p27,L_TIME,0,,,,
hiking,p27,S_TIME,0,1327.01,1310.75,1327.01,195
hiking,p28,L_TIME,0,,,,
hiking,p28,S_TIME,0,845.306,827.431,845.306,217
hiking,p29,L_TIME,124,,,,
hiking,p29,S_TIME,124,,,,
hiking,p30,L_TIME,0,,,,
hiking,p30,S_TIME,0,1434.77,1411.09,1434.77,239
logistics,p01,L_TIME,0,,,,
logistics,p01,S_TIME,0,0.0559801,0.00202769,0.0559801,8
logistics,p02,L_TIME,0,,,,
logistics,p02,S_TIME,0,0.167694,0.0081365,0.167694,18
logistics,p03,L_TIME,0,,,,
logistics,p03,S_TIME,0,0.365101,0.0183797,0.365101,26
logistics,p04,L_TIME,0,,,,
logistics,p04,S_TIME,0,0.8665,0.0404679,0.8665,34
logistics,p05,L_TIME,0,,,,
logistics,p05,S_TIME,0,1.56609,0.100556,1.56609,47
logistics,p06,L_TIME,0,,,,
logistics,p06,S_TIME,0,3.10521,0.197675,3.10521,54
logistics,p07,L_TIME,0,,,,
logistics,p07,S_TIME,0,3.9911,0.286029,3.9911,64
logistics,p08,L_TIME,0,,,,
logistics,p08,S_TIME,0,6.80091,0.516937,6.80091,75
logistics,p09,L_TIME,0,,,,
logistics,p09,S_TIME,0,9.96242,0.839785,9.96242,86
logistics,p10,L_TIME,0,,,,
logistics,p10,S_TIME,0,14.5623,1.0328,14.5623,94
logistics,p11,L_TIME,0,,,,
logistics,p11,S_TIME,0,20.2921,1.9531,20.2921,106
logistics,p12,L_TIME,20,,,,
logistics,p12,S_TIME,0,26.0978,2.28833,26.0978,112
logistics,p13,L_TIME,20,,,,
logistics,p13,S_TIME,0,38.3099,3.36847,38.3099,124
logistics,p14,L_TIME,20,,,,
logistics,p14,S_TIME,20,,,,
logistics,p15,L_TIME,20,,,,
logistics,p15,S_TIME,20,,,,
logistics,p16,L_TIME,20,,,,
logistics,p16,S_TIME,20,,,,
logistics,p17,L_TIME,20,,,,
logistics,p17,S_TIME,20,,,,
logistics,p18,L_TIME,20,,,,
logistics,p18,S_TIME,20,,,,
logistics,p19,L_TIME,20,,,,
logistics,p19,S_TIME,20,,,,
logistics,p20,L_TIME,20,,,,
logistics,p20,S_TIME,20,,,,
logistics,p21,L_TIME,20,,,,
logistics,p21,S_TIME,20,,,,
logistics,p22,L_TIME,20,,,,
logistics,p22,S_TIME,20,,,,
logistics,p23,L_TIME,20,,,,
logistics,p23,S_TIME,20,,,,
logistics,p24,L_TIME,20,,,,
logistics,p24,S_TIME,20,,,,
logistics,p25,L_TIME,20,,,,
logistics,p25,S_TIME,20,,,,
logistics,p26,L_TIME,20,,,,
logistics,p26,S_TIME,20,,,,
logistics,p27,L_TIME,20,,,,
logistics,p27,S_TIME,20,,,,
